X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.7751804654275307	0.07975663513486324	0.1450367243630657	2.6175074540380327e-05	0.09534582932575922	0.3887221974386302	0.0027365744375754918	6.547856559730961e-05	0.03792051288312545	0.0005280989883296937	1853.7930344696128	169352.74686078183	33870.54937215637	91832.79560355618	-4.191170540913208
0.7750898943368331	0.07983905402545469	0.14504484855633945	2.620308137275871e-05	0.0953843314950448	0.38869354631544356	0.002737313488035255	6.546315447591098e-05	0.038075912970404246	0.0005317056548944955	1853.7933966244868	169813.44244117985	33962.68848823597	92086.18904704222	-4.190129380895826
0.7750005129105082	0.07992039063916298	0.14505286572697834	2.623072335050886e-05	0.09542232066767642	0.3886652768669603	0.0027380427851778225	6.544794707750275e-05	0.03823195290783607	0.0005353369775054915	1853.7937612545159	170275.38554950344	34055.07710990069	92340.23098150543	-4.189102341645163
0.7749123054188377	0.08000065928619501	0.14506077728971706	2.6258005250240335e-05	0.09545980381884137	0.3886373839034892	0.00273876246172606	6.543294065762008e-05	0.038388635302063115	0.0005389931245714954	1853.7941283765977	170738.57962853805	34147.71592570761	92594.92360392073	-4.188089224381509
0.7748252563400405	0.08007987408757486	0.1450685846405994	2.628493178532667e-05	0.0954967878263942	0.38860986230775896	0.002739472648547428	6.541813251015518e-05	0.03854596277061386	0.000542674265652414	1853.7944980077448	171203.02812977805	34240.605625955606	92850.2691124335	-4.187089833288645
0.7747393503600054	0.08015804897506604	0.1450762891573217	2.631150760688e-05	0.09553327947117221	0.38858270703475445	0.002740173474563209	6.540351996672926e-05	0.038703937941945744	0.0005463805714672044	1853.7948701650866	171668.73451348487	34333.74690269698	93106.26970628627	-4.186103975494704
0.7746545723721665	0.08023519769096574	0.14508389219956297	2.633773730493829e-05	0.09556928543724522	0.38855591311160137	0.002740865066656881	6.53891003959525e-05	0.038862563455488136	0.0005501122139016731	1853.7952448658698	172135.7022486848	34427.14044973696	93362.927585738	-4.185131461055079
0.7745709074678208	0.08031133379784983	0.14509139510892075	2.6363625408695753e-05	0.09560481231643067	0.388529475634	0.002741547550042945	6.537487120317223e-05	0.039021841961685344	0.0005538693660163359	1853.7956221274562	172603.93481316438	34520.786962632876	93620.24495249575	-4.1841721028217345
0.7744883409397799	0.08038647067442373	0.1450987992094087	2.6389176387692342e-05	0.0956398666068387	0.3885033897674902	0.0027422210479893607	6.536082982974967e-05	0.039181776122039824	0.0005576522020547395	1853.7960019673305	173073.43569359928	34614.687138719855	93878.2240094346	-4.18322571647227
0.7744068582760252	0.08046062152180235	0.1451061058075197	2.6414394652644296e-05	0.09567445471588314	0.38847765074509943	0.0027428856820284142	6.534697375250035e-05	0.039342368609155735	0.0005614608974512773	1853.7963844030937	173544.2083854986	34708.84167709972	94136.86696085433	-4.182292120420019
